TransactionID,Date,AccountID,AccountName,TransactionType,Amount,Currency,ExchangeRate,Balance,Merchant,MerchantPhone,MerchantEmail,Category,Subcategory,Country,City,PostalCode,CardNumber,Email,Phone,IsFraud,Notes,CustomerSince
TX103251,4/3/2025,AC3973,Arjun Sharma,Debit,47.36,USD ,80.6864,-1714968.59,ShopEasy,,shopeasy@biz.com,Education,Books,UK,Pune,153621,XXXX-XXXX-XXXX-4249,arjun.sharma@hotmail.com,-4469491713,No,repeat purchase,16/09/2018
TX101874,10/8/2024,AC8970,Dev Kumar,Debit,159.55,inr,1,-1162428.75,AutoZone,1856170186,autozone@biz.com,Entertainment,Concert,Australia,Delhi,380312,XXXX-XXXX-5979,dev.kumar@yahoo.com,5882006077,No,cashback credited,11/7/2022
TX103746,9/14/2024,AC3777,Amit Gupta,Debit,2.43,GBP,102.0148,-2085783.34,BigBasket,323250652,bigbasket@biz.com,Groceries,Specialty,USA,Gurugram,N/A,XXXX-XXXX-2243,amit.gupta@example.com,883289751,No,cashback credited,Aug-21
TX105269,12/21/2024,AC9635,Ritu Roy,Refund,78.96,AED,18.1216,-2727243.49,ShopEasy,,shopeasy@biz.com,Dining,Restaurant,Australia,Mumbai,793747,XXXX-XXXX-9279,ritu.roy@hotmail.com,6845399861,No,suspected fraud,2024
TX100463,4/14/2024,AC1329,Raj Bose,Refund,42.81,USD,78.4379,-259175.06,LocalMart,676286112,,Dining,FastFood,USA,Mumbai,755067,,raj.bose@hotmail.com,1228611124,No,cashback credited,3/2/2023
TX105222,5/20/2025,AC4567,Maya Patel,Refund,25.28,INR,1,-2681033.19,Amazon,,,Utilities,Electricity,India,Hyderabad,915819,XXXX-XXXX-4011,maya.patel@example.com,-7629416248,No,,24/11/2015
TX101095,9/14/2023,AC1401,Dev Iyer,Credit,30.06,USD,80.9396,"?-554,639.12",Starbucks,3913113314,,Utilities,Electricity,India,Jaipur,880938,XXXX-XXXX-9517,dev.iyer@example.com,,No,manual adjustment,8/8/2025
TX104232,10/23/2023,AC3573,Priya Mehta,CREDIT,15.91,INR,1,-2238462.32,AutoZone,-5002659401,,Travel,Flight,UAE,Mumbai,267413,XXXX-XXXX-3629,priya.mehta@example.com,8044301765,No,,20/02/2021
TX103255,10/31/2023,AC7007,Neha Roy,Refund,$39.56 ,GBP,109.7276,-1773994.74,Myntra,,myntra@biz.com,Automotive,Fuel,UK,Jaipur,326900,XXXX-XXXX-XXXX-2630,neha.roy@hotmail.com,5473229213,No,manual adjustment,Jul-18
TX100757,2/7/2024,AC1584,Priya Reddy,Refund,41.34,USD,82.68,-445835.54,Reliance,6381948606,,Health,Clinic,UK,Pune,135022,,priya.reddy@hotmail.com,1776923306,No,repeat purchase,Jun-23
