transactionid,date,accountid,accountname,transactiontype,amount,currency,exchangerate,balance,merchant,merchantemail,category,subcategory,country,city,postalcode,cardnumber,email,phone,isfraud,notes,customersince
TX103251,2025-04-03,AC3973,Arjun Sharma,Debit,80.6864,USD,80.6864,1714968.59,ShopEasy,shopeasy@biz.com,Education,Books,UK,Pune,153621,XXXX-XXXX-XXXX-4249,arjun.sharma@hotmail.com,4469491713,No,repeat purchase,2018-09-16
TX101874,2024-10-08,AC8970,Dev Kumar,Debit,1.0,INR,1.0,1162428.75,AutoZone,autozone@biz.com,Entertainment,Concert,Australia,Delhi,380312,XXXX-XXXX-5979,dev.kumar@yahoo.com,5882006077,No,cashback credited,2022-11-07
TX103746,2024-09-14,AC3777,Amit Gupta,Debit,102.0148,GBP,102.0148,2085783.34,BigBasket,bigbasket@biz.com,Groceries,Specialty,USA,Gurugram,851,XXXX-XXXX-2243,amit.gupta@example.com,883289751,No,cashback credited,2015-06-23
TX105269,2024-12-21,AC9635,Ritu Roy,Refund,18.1216,AED,18.1216,2727243.49,ShopEasy,shopeasy@biz.com,Dining,Restaurant,Australia,Mumbai,793747,XXXX-XXXX-9279,ritu.roy@hotmail.com,6845399861,No,suspected fraud,2024-01-01
TX100463,2024-04-14,AC1329,Raj Bose,Refund,78.4379,USD,78.4379,259175.06,LocalMart,Unknown,Dining,FastFood,USA,Mumbai,755067,Unknown,raj.bose@hotmail.com,1228611124,No,cashback credited,2023-03-02
TX105222,2025-05-20,AC4567,Maya Patel,Refund,1.0,INR,1.0,2681033.19,Amazon,Unknown,Utilities,Electricity,India,Hyderabad,915819,XXXX-XXXX-4011,maya.patel@example.com,7629416248,No,No Notes,2015-11-24
TX101095,2023-09-14,AC1401,Dev Iyer,Credit,80.9396,USD,80.9396,1641946.095,Starbucks,Unknown,Utilities,Electricity,India,Jaipur,880938,XXXX-XXXX-9517,dev.iyer@example.com,1162887189,No,manual adjustment,2025-08-08
TX104232,2023-10-23,AC3573,Priya Mehta,Credit,1.0,INR,1.0,2238462.32,AutoZone,Unknown,Travel,Flight,UAE,Mumbai,267413,XXXX-XXXX-3629,priya.mehta@example.com,8044301765,No,No Notes,2021-02-20
TX103255,2023-10-31,AC7007,Neha Roy,Refund,109.7276,GBP,109.7276,1773994.74,Myntra,myntra@biz.com,Automotive,Fuel,UK,Jaipur,326900,XXXX-XXXX-XXXX-2630,neha.roy@hotmail.com,5473229213,No,manual adjustment,2024-01-01
TX100757,2024-02-07,AC1584,Priya Reddy,Refund,82.68,USD,82.68,445835.54,Reliance,Unknown,Health,Clinic,UK,Pune,135022,Unknown,priya.reddy@hotmail.com,1776923306,No,repeat purchase,2022-01-26
TX101935,2024-07-08,AC5372,Raj Reddy,Debit,96.0691,GBP,96.0691,1168892.39,ShopEasy,Unknown,Automotive,Fuel,USA,Gurugram,350578,XXXX-XXXX-9667,raj.reddy@yahoo.com,6454843768,No,monthly subscription,2017-01-01
TX104361,2024-10-13,AC4603,Raj Kumar,Refund,1.0,INR,1.0,2419825.46,Zomato,zomato@biz.com,Education,Books,UK,Noida,943828,XXXX-XXXX-XXXX-3858,raj.kumar@gmail.com,7960179727,No,promo applied,2024-10-13
TX105135,2023-11-01,AC1978,Dev Bose,Debit,19.8767,AED,19.8767,2678063.64,Flipkart,flipkart@biz.com,Entertainment,Concert,USA,Mumbai,541596,XXXX-XXXX-XXXX-7809,dev.bose@yahoo.com,5771717716,No,repeat purchase,2023-11-01
TX102862,2025-02-24,AC6736,suresh ROY,Credit,20.55,AED,20.55,1626685.13,Paytm Mall,paytmmall@biz.com,Dining,Restaurant,Canada,Pune,363091,XXXX-XXXX-5376,Unknown,5856285767,No,repeat purchase,2015-08-03
TX100059,2024-05-03,AC7201,Lina Chopra,Credit,1.0,INR,1.0,144093.87,Walmart,Unknown,Automotive,Fuel,India,Delhi,569390,XXXX-XXXX-3817,lina.chopra@gmail.com,2148585218,No,repeat purchase,2018-01-01
TX101306,2024-08-25,AC3643,Sana Kumar,Credit,81.3081,USD,81.3081,965108.08,Starbucks,starbucks@biz.com,Entertainment,Streaming,Canada,Bengaluru,313942,XXXX-XXXX-1286,sana.kumar@yahoo.com,8285425328,No,chargeback requested,2025-01-01
TX105440,2024-09-12,AC3521,Asha Das,debit,80.4133,USD,80.4133,2783810.24,ShopEasy,shopeasy@biz.com,Groceries,Supermarket,UK,Jaipur,244894,4.81928E+15,asha.das@gmail.com,2421026890,No,repeat purchase,2023-01-01
TX104539,2025-06-20,AC3852,Suresh Khan,debit,1.0,INR,1.0,2464156.5,Zomato,Unknown,Utilities,Internet,UK,Jaipur,639702,XXXX-XXXX-XXXX-4331,suresh.khan@example.com,9297816406,No,suspected fraud,2017-05-12
TX104915,2024-10-10,AC9262,Lina Khan,Debit,76.2602,USD,76.2602,1641946.095,ElectroWorld,Unknown,Automotive,Repair,UK,Jaipur,418828,XXXX-XXXX-XXXX-9478,lina.khan@yahoo.com,5630209429,No,cashback credited,2021-09-23
TX105847,2024-05-10,AC4073,Raj Sharma,debit,1.0,INR,1.0,1641946.095,BigBasket,bigbasket@biz.com,Education,Course,India,Mumbai,943210,XXXX-XXXX-XXXX-4864,raj.sharma@yahoo.com,4272682811,No,monthly subscription,2022-03-17
TX104626,2024-11-14,AC2149,Asha Bose,Credit,21.1947,AED,21.1947,2466729.79,Myntra,Unknown,Electronics,Laptop,Canada,Mumbai,218025,XXXX-XXXX-XXXX-1963,asha.bose@hotmail.com,2848087356,No,chargeback requested,2020-01-01
TX101715,2024-12-14,AC4305,Dev Chopra,Refund,92.4582,GBP,92.4582,1641946.095,Myntra,myntra@biz.com,Entertainment,Concert,USA,Hyderabad,554639,XXXX-XXXX-8772,dev.chopra@yahoo.com,9782333274,No,chargeback requested,2015-01-01
TX100452,2025-05-16,AC6768,Rohit Kumar,Debit,80.4977,USD,80.4977,1641946.095,BigBasket,bigbasket@biz.com,Entertainment,Concert,UK,Chennai,143661,XXXX-XXXX-3040,rohit.kumar@hotmail.com,2303906802,No,monthly subscription,2024-03-04
TX104116,2024-04-16,AC1034,Asha Josh,Debit,98.6922,GBP,98.6922,2235670.04,Swiggy,swiggy@biz.com,Utilities,Internet,UAE,Bengaluru,744734,XXXX-XXXX-4893,asha.josh@hotmail.com,2991572575,No,promo applied,2018-04-11
TX105514,2024-08-31,AC5013,Anita Gupta,Debit,20.2535,AED,20.2535,2866366.7,LocalMart,localmart@biz.com,Groceries,Specialty,UAE,Hyderabad,354224,XXXX-XXXX-6573,anita.gupta@gmail.com,2406066923,No,cashback credited,2017-06-16
TX101649,2025-08-26,AC2769,Neha Nair,Debit,1.0,INR,1.0,1077085.21,ElectroWorld,electroworld@biz.com,Education,Books,USA,Noida,282732,XXXX-XXXX-6916,neha.nair@gmail.com,3172828875,No,manual adjustment,2025-08-26
TX105205,2025-08-19,AC7600,Uma Iyer,Debit,1.0,INR,1.0,2680617.09,ElectroWorld,electroworld@biz.com,Travel,Taxi,UAE,Hyderabad,512697,XXXX-XXXX-1912,uma.iyer@example.com,9635182434,No,cashback credited,2019-09-12
TX104282,2024-05-27,AC5218,Amit Patel,debit,77.0508,USD,77.0508,1641946.095,Paytm Mall,paytmmall@biz.com,Entertainment,Movies,Australia,Mumbai,602529,Unknown,amit.patel@hotmail.com,3145028308,No,promo applied,2024-05-27
TX101031,2023-10-11,AC1135,Maya Joshi,debit,1.0,INR,1.0,541895.17,Zomato,zomato@biz.com,Automotive,Fuel,USA,Bengaluru,458075,4.50287E+15,maya.joshigmail.com,4424097058,No,manual adjustment,2017-11-20
TX100893,2023-11-12,AC7170,Neha Singh,Debit,74.1184,USD,74.1184,1641946.095,ShopEasy,shopeasy@biz.com,Utilities,Internet,UK,Bengaluru,851,XXXX-XXXX-4783,neha.singh@example.com,6814108886,No,promo applied,2018-11-06
TX102732,2024-04-08,AC8986,Karan Bose,Credit,108.1853,GBP,108.1853,1604589.22,Zomato,zomato@biz.com,Automotive,Fuel,Canada,Noida,292,XXXX-XXXX-1048,karan.bose@gmail.com,8362382850,No,repeat purchase,2024-04-08
TX105933,2023-12-30,AC8042,Asha Patel,Refund,1.0,INR,1.0,1641946.095,ShopEasy,shopeasy@biz.com,Clothing,Men,Australia,Delhi,258380,4.53047E+15,asha.patel@hotmail.com,5503926928,No,monthly subscription,2023-12-30
